Absolute Value|abs(x)	x
Accept TLS|error out	client certificate chain	TLS connection	timeout ms (300000)	error in (no error)	immutable TLS configuration	TCP connection
Access Rights|error out	permissions	group	owner	dup path	path	error in	new permissions	new group	new owner
Add|x+y	y	x
Add (with error terminals)|x+y	y	x	error out	error in (no error)
Add Array Elements|sum	numeric array
Add Entropy|error out	error in (no error)	entropy
Add Private Key To TLS Configuration|error out	TLS configuration out	error in (no error)	certificate chain	private key	TLS configuration
Add Trusted Certificate To TLS Configuration|error out	TLS configuration out	error in (no error)	certificate	TLS configuration
AllSpoll|bus	address list	error in	serial poll byte list	status	byte count	error out
Always Copy|Output	Input
And|x .and. y?	y	x
And Array Elements|logical AND	Boolean array
Append True/False String|output string	selector	false string	true string	string ("")
Array Max & Min|array	max value	max index (indices)	min value	min index (indices)
Array of Strings to Path|array of strings	relative	path
Array Size|size(s)	array
Array To Cluster|cluster	array
Array To Spreadsheet String|spreadsheet string	delimiter (Tab)	array	format string
ArrayMemInfo|mem info out	array out	array in
Assert Structural Type Match|reference	anything
Automation Close|error out	error in(no error)	Automation Refnum
Automation Open|error out	Automation Refnum	error in (no error)		machine name	Automation Refnum
Bitpack to Array|bparray	data
Bluetooth Close Connection|error out	connection ID out	error in (no error)	abort (F)	connection ID
Bluetooth Create Listener|error out	channel	listener ID	service description	address	error in (no error)	uuid
Bluetooth Discover|error out	device list	number of devices	error in (no error)	time limit ms (10000)
Bluetooth Open Connection|error out	connection ID	uuid	error in (no error)	timeout ms (60000)	channel (0)	address
Bluetooth Read|error out	data out	connection ID out	mode (standard)	error in (no error)	timeout ms (25000)	bytes to read	connection ID
Bluetooth Wait On Listener|error out	remote channel	remote address	listener ID out	connection ID	error in (no error)	timeout ms (wait forever: -1)	resolve remote address (T)	listener ID in
Bluetooth Write|error out	bytes written	connection ID out	error in (no error)	timeout ms (25000)	data in	connection ID
Boolean Array To Number|number	Boolean array
Boolean To (0,1)|0, 1	Boolean
Build Path|appended path	name or relative path	base path
Byte Array To String|string	unsigned byte array
Call Chain|call chain
Cancel Notification|notifier	error in (no error)	notifier out	canceled notifcation	error out
Cast Unit Bases|x	unit (none)	x
Clear Fixed-Point Overflow Status|overflow?	FXP with overflow cleared	FXP
Close File|error out	path	error in	refnum
Close File (deprecated)|error out	path	error in	refnum
Close MATLAB Session|session in	error in	error out
Close Python Session|session in	error in	error out
Close Reference|error out	error in (no error)	reference
Close TLS Configuration|error out	error in (no error)	TLS configuration
Close Variable Connection|error out	error in (no error)	shared variable refnum in
Cluster To Array|array	cluster
Coerce To Type|x	type	coerced x
Collection Size|size	collection
Complex Conjugate|x - iy	x + iy
Complex To Polar|r * e^(i*theta)	r	theta
Complex To Re/Im|x + iy	x	y
Control Help Window|Top Left Corner	Show
Control Online Help|error out	error in (no error)	Path to the help file	String to search for	Operation
Copy|error out	cancelled	new path	prompt (Choose or enter target path for copy)	error in	overwrite (F)	target path (use dialog)	source path
Copy (deprecated)|error out	new path	error in	target path	source path
Cosecant|1/sin(x)	x
Cosine|cos(x)	x
Cotangent|1/tan(x)	x
CPU Information|# of logical processors	# of packages	# of cores per package	# of logical processors per core
Create Folder|error out	cancelled	created path	prompt (Create Folder)	error in	path (use dialog)
Create Network Stream Endpoint|error out	endpoint	timeout in ms (-1)	element allocation mode	buffer sizes	error in (no error)	data type	remote endpoint url	endpoint name
Create Network Stream Reader Endpoint|error out	reader endpoint	timeout in ms (-1)	element allocation mode	reader buffer size	error in (no error)	data type	writer url	reader name
Create Network Stream Writer Endpoint|error out	writer endpoint	timeout in ms (-1)	element allocation mode	writer buffer size	error in (no error)	data type	reader url	writer name
Create Unique Network Stream Endpoint|error out	endpoint	max connections (-1)	timeout in ms (-1)	element allocation mode	buffer sizes	error in (no error)	data type	base endpoint name
Create Unique Network Stream Reader Endpoint|error out	reader endpoint	max connections (-1)	timeout in ms (-1)	element allocation mode	reader buffer size	error in (no error)	data type	base reader name
